['USID', 'cluster_algo', 'cluster_number']
[8456000057, 'KMeans', 2]
[8456000058, 'KMeans', 2]
[8456000059, 'KMeans', 2]
[8456000060, 'KMeans', 2]
[8456000061, 'KMeans', 2]
[8456000062, 'KMeans', 2]
[8456000063, 'KMeans', 2]
[8456000064, 'KMeans', 2]
[8456000065, 'KMeans', 2]
[8456000066, 'KMeans', 2]
[8456000067, 'KMeans', 2]
[8456000068, 'KMeans', 2]
[8456000069, 'KMeans', 2]
[8456000070, 'KMeans', 2]
[8456000071, 'KMeans', 2]
[8456000072, 'KMeans', 2]
[8456000073, 'KMeans', 2]
[8456000074, 'KMeans', 2]
[8456000075, 'KMeans', 2]
[8456000076, 'KMeans', 2]
[8456000077, 'KMeans', 2]
[8456000078, 'KMeans', 2]
[8456000079, 'KMeans', 2]
[8456000080, 'KMeans', 2]
[8456000081, 'KMeans', 2]
[8456000082, 'KMeans', 2]
[8456000083, 'KMeans', 2]
[8456000084, 'KMeans', 2]
[8456000085, 'KMeans', 2]
[8456000086, 'KMeans', 2]
[8456000087, 'KMeans', 2]
[8456000088, 'KMeans', 2]
[8456000089, 'KMeans', 2]
[8456000090, 'KMeans', 2]
[8456000091, 'KMeans', 2]
[8456000092, 'KMeans', 2]
[8456000093, 'KMeans', 2]
[8456000094, 'KMeans', 2]
[8456000095, 'KMeans', 2]
[8456000096, 'KMeans', 2]
[8456000097, 'KMeans', 2]
[8456000098, 'KMeans', 2]
[8456000099, 'KMeans', 2]
[8456000100, 'KMeans', 2]
[8456000101, 'KMeans', 2]
[8456000102, 'KMeans', 2]
[8456000103, 'KMeans', 2]
[8456000104, 'KMeans', 2]
[8456000105, 'KMeans', 2]
[8456000106, 'KMeans', 2]
[8456000107, 'KMeans', 2]
[8456000108, 'KMeans', 2]
[8456000109, 'KMeans', 2]
[8456000110, 'KMeans', 2]
[8456000111, 'KMeans', 2]
[8456000112, 'KMeans', 2]
[8456000113, 'KMeans', 2]
